Frame id, 2868267, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -18.183
Frame id, 2868268, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -17.5063
Frame id, 2868269, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -16.9357
Frame id, 2868270, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -16.4782
Frame id, 2868271, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -15.8471
Frame id, 2868272, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -15.0987
Frame id, 2868273, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -14.4564
Frame id, 2868274, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -14.2953
Frame id, 2868275, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -14.1192
Frame id, 2868276, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.9354
Frame id, 2868277, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.8702
Frame id, 2868278, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.8834
Frame id, 2868279, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.5435
Frame id, 2868280, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.3281
Frame id, 2868281, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.1677
Frame id, 2868282, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.2123
Frame id, 2868283, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.1133
Frame id, 2868284, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.8695
Frame id, 2868285, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.5717
Frame id, 2868286, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.3287
Frame id, 2868287, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.3448
Frame id, 2868288, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.3775
Frame id, 2868289, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.5172
Frame id, 2868290, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.7771
Frame id, 2868291, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.0301
Frame id, 2868292, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -13.0725
Frame id, 2868293, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.9734
Frame id, 2868294, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.8407
Frame id, 2868295, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.7078
Frame id, 2868296, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.5381
Frame id, 2868297, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.2861
Frame id, 2868298, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -12.0081
Frame id, 2868299, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -11.5989
Frame id, 2868300, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -11.299
Frame id, 2868301, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -11.2053
Frame id, 2868302, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -11.066
Frame id, 2868303, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.9188
Frame id, 2868304, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.7125
Frame id, 2868305, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.6756
Frame id, 2868306, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.459
Frame id, 2868307, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.3474
Frame id, 2868308, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.2438
Frame id, 2868309, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.1352
Frame id, 2868310, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -10.0335
Frame id, 2868311, Hands, 1, Fingers, 5, Hand, Right, HandID, 28, roll, -9.96897
